bor_subb,SubBorough,2006 Stop and Frisk Per Bachelor Educated Person,2006 Stop and Frisk per capita,2006 Bachelor Degree per capita
401,Astoria,,,
210,Bay Ridge,,,
411,Bayside/Little Neck,,,
203,Bedford Stuyvesant,,,
211,Bensonhurst,,,
212,Borough Park,,,
202,Brooklyn Heights/Fort Greene,,,
216,Brownsville/Ocean Hill,,,
204,Bushwick,,,
308,Central Harlem,,,
303,Chelsea/Clinton/Midtown,,,
213,Coney Island,,,
217,East Flatbush,,,
309,East Harlem,,,
205,East New York/Starrett City,,,
404,Elmhurst/Corona,,,
214,Flatbush,,,
218,Flatlands/Canarsie,,,
407,Flushing/Whitestone,,,
301,Greenwich Village/Financial District,,,
103,Highbridge/South Concourse,,,
408,Hillcrest/Fresh Meadows,,,
403,Jackson Heights,,,
412,Jamaica,,,
105,Kingsbridge Heights/Moshulu,,,
302,Lower East Side/Chinatown,,,
405,Middle Village/Ridgewood,,,
502,Mid-Island,,,
307,Morningside Heights/Hamilton Heights,,,
102,Morrisania/Belmont,,,
101,Mott Haven/Hunts Point,,,
208,North Crown Heights/Prospect Heights,,,
501,North Shore,,,
409,Ozone Park/Woodhaven,,,
206,Park Slope/Carroll Gardens,,,
109,Pelham Parkway,,,
413,Queens Village,,,
406,Rego Park/Forest Hills,,,
106,Riverdale/Kingsbridge,,,
414,Rockaways,,,
215,Sheepshead Bay/Gravesend,,,
107,Soundview/Parkchester,,,
209,South Crown Heights,,,
410,South Ozone Park/Howard Beach,,,
503,South Shore,,,
304,Stuyvesant Town/Turtle Bay,,,
402,Sunnyside/Woodside,,,
207,Sunset Park,,,
108,Throgs Neck/Co-op City,,,
104,University Heights/Fordham,,,
306,Upper East Side,,,
305,Upper West Side,,,
310,Washington Heights/Inwood,,,
110,Williamsbridge/Baychester,,,
201,Williamsburg/Greenpoint,,,
