“bor_subb”,“SubBorough”,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”,,People,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”,,No of Educated People,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”,,Stop and Frisks,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”,,,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”,,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”
401,Astoria,16.787134,22.9437474,29.2194222,30.5293501,33.0071856,36.80341274,,,169691,205469,196854,190247,175303,178480,,,28486.25556,47142.28835,57519.60138,58081.17268,57862.58657,65686.73106,0.007853779,,,,,,,11693,0.001398064,,,,,,,0.178011599,,,,,,,0.001866654
210,Bay Ridge,21.97063,30.581779,35.5481952,35.5079027,31.1852378,34.31469733,,,107726,119871,124339,123447,126730,121390,,,23668.08087,36658.68431,44200.27043,43833.44065,39521.05186,41654.61109,0.004980399,,,,,,,3199,0.000382486,,,,,,,0.07679822,,,,,,,0.001183721
411,Bayside/Little Neck,30.409942,37.448526,43.195913,39.9696169,36.3601824,41.34241572,,,108482,116749,111573,117784,123412,124989,,,32989.31328,43720.77962,48194.97601,47077.81357,44872.8283,51673.47198,0.006178296,,,,,,,3725,0.000445377,,,,,,,0.072087279,,,,,,,0.001468432
203,Bedford Stuyvesant,7.819152,10.6355042,16.0228554,16.8512714,20.2238623,20.99118122,,,113900,121054,135559,132087,125699,141064,,,8906.014128,12874.70325,21720.42255,22258.33885,25421.19267,29610.99988,0.003540414,,,,,,,20816,0.002488848,,,,,,,0.702982003,,,,,,,0.000841471
413,Bensonhurst,11.603161,20.4653422,22.8993193,22.9568605,21.9923372,17.66666667,,,149468,171778,181857,174593,184258,183083,,,17343.01268,35154.95552,41644.0151,40081.07145,40522.64068,32344.66334,0.003867263,,,,,,,5595,0.000668962,,,,,,,0.172980623,,,,,,,0.000919155
211,Borough Park,16.67622,20.8135555,22.2078998,25.1857759,24.2629031,25.96016916,,,137257,158548,154525,155509,176198,170292,,,22889.27929,32999.47597,34316.75717,39166.14824,42750.75,44208.09127,0.005285704,,,,,,,4459,0.000533137,,,,,,,0.100863889,,,,,,,0.001256284
212,Brooklyn Heights/Fort Greene,34.785691,42.5983667,49.692632,54.5112069,52.7599502,55.30352678,,,110980,115106,109811,111796,116753,116528,,,38605.15987,49033.27597,54567.97613,60941.34887,61598.82466,64444.09369,0.007705204,,,,,,,2969,0.000354986,,,,,,,0.04607094,,,,,,,0.001831341
202,Brownsville/Ocean Hill,5.794525,7.6069372,9.8093924,8.5656214,10.7707662,11.64809557,,,114693,116790,111136,116936,120802,113502,,,6645.914558,8884.141956,10901.76634,10016.29504,13011.30098,13220.82143,0.001580736,,,,,,,13952,0.001668159,,,,,,,1.055305078,,,,,,,0.000375703
216,Bushwick,5.22967,6.8508304,11.3673708,14.0320057,13.4631747,13.25958181,,,121318,120710,115583,123871,129980,127496,,,6344.531051,8269.637376,13138.74819,17381.58578,17499.43448,16905.43642,0.002021284,,,,,,,27313,0.003265656,,,,,,,1.615634126,,,,,,,0.000480411
204,Central Harlem,10.311478,14.6247511,22.9735469,25.5692398,30.7567118,30.62043704,,,100692,109091,118291,118143,124883,125875,,,10382.83343,15954.28722,27175.63836,30208.26698,38409.9044,38543.47512,0.004608418,,,,,,,13571,0.001622605,,,,,,,0.352095911,,,,,,,0.00109531
