"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/26/2013. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,SubBorough,2006,2007,2008,2009
,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",New York City,48951,51125,54379,52173
401,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Astoria,39798,49901,54713,52683
210,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Bay Ridge,39219,43835,45111,59745
411,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Bayside/Little Neck,75262,63410,61942,70162
203,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Bedford Stuyvesant,,20391,77973,56399
413,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Bensonhurst,42201,46418,48505,40868
211,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Borough Park,36264,35367,34110,31387
212,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Brooklyn Heights/Fort Greene,69366,,65139,91126
202,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Brownsville/Ocean Hill,,,,98929
216,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Bushwick,20147,35927,20099,
204,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Central Harlem,,48727,51196,
308,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Chelsea/Clinton/Midtown,61286,71286,95689,80895
303,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Coney Island,55081,46054,52189,52731
213,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",East Flatbush,,,41045,
217,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",East Harlem,49221,62717,22933,41654
309,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",East New York/Starrett City,33871,45386,91777,29390
205,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Elmhurst/Corona,39969,41266,37549,43150
404,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Flatbush,35517,47449,29549,38361
214,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Flatlands/Canarsie,49441,75766,67555,51364
218,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Flushing/Whitestone,44072,48325,47810,46866
407,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Greenwich Village/Financial District,69338,68944,52983,69318
406,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Highbridge/South Concourse,25026,82047,37841,54312
301,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Hillcrest/Fresh Meadows,61018,74835,70367,49890
103,"Median Household Income, Asian Households","Median Household income for Asian households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>",Jackson Heights,42167,42972,47764,50813
