"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/26/2013. Terms can be found at http://www.furmancenter.org/data/disclaimer/.","Indicator","Description","SubBorough","2006","2007","2008","2009"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","New York City","36589","39554","40862","39866"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Astoria","16918","27344","23004","26327"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bay Ridge","58973",,,"42580"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bayside/Little Neck","49219","75712","67323","118022"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bedford Stuyvesant","30879","36193","40588","31200"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bensonhurst",,"36050","32464","70755"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Borough Park","45192","45702","55833","32329"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Brooklyn Heights/Fort Greene","40944","34582","42026","34296"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Brownsville/Ocean Hill","24989","26113","29330","28302"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bushwick","25762","31407","30673","27346"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Central Harlem","24694","26619","30208","29552"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Chelsea/Clinton/Midtown","21734","25474","12324","30680"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Coney Island","24214","26220","31941","28591"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","East Flatbush","42604","43496","43891","48866"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","East Harlem","22136","28845","31645","26543"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","East New York/Starrett City","30290","37787","38517","35341"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Elmhurst/Corona","40767","57070","45803","55183"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Flatbush","37376","41419","40095","34906"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Flatlands/Canarsie","58636","61100","61584","60826"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Flushing/Whitestone","45042","61270","42157","37980"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Greenwich Village/Financial District","45768","75815",,"34663"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Highbridge/South Concourse","25638","27454","27832","33373"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Hillcrest/Fresh Meadows","49485","51501","46145","55151"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Jackson Heights","41367","34811","41884","51191"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Jamaica","51462","51214","54981","59551"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Kingsbridge Heights/Moshulu","31184","37173","36134","38689"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Lower East Side/Chinatown","32510","25389","25769","23932"
,"Median Household Income, Black Households","Median Household income for black households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Middle Village/Ridgewood",,"39753","71208","44350"
