"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/26/2013. Terms can be found at http://www.furmancenter.org/data/disclaimer/.","Indicator","Description","SubBorough","2006","2007","2008","2009"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","New York City","32791","34390","34573","34028"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Astoria","36334","34854","39280","35554"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bay Ridge","45824","46250","45806","50715"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bayside/Little Neck","63214","73599","72099","89320"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bedford Stuyvesant","18578","16622","26190","21910"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bensonhurst","47347","42779","37044","33544"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Borough Park","40932","36916","39372","42190"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Brooklyn Heights/Fort Greene","30374","30143","24405","30485"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Brownsville/Ocean Hill","16504","22243","18279","14010"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bushwick","27522","31744","36116","29307"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Central Harlem","23663","24282","17202","21347"
,"Median Household Income, Hispanic Households","Median Household income for Hispanic households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Chelsea/Clinton/Midtown","27804","35667","35797","37018"
