"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/26/2013. Terms can be found at http://www.furmancenter.org/data/disclaimer/.","Indicator","Description","SubBorough","2006","2007","2008","2009"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","New York City","46480","48631","51116","50033"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Astoria","42113","46452","52065","47435"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bay Ridge","55093","49228","54839","52941"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bayside/Little Neck","67472","70099","73998","72071"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bedford Stuyvesant","27598","31355","38599","30159"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bensonhurst","38714","41494","38656","38574"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Borough Park","40040","38023","40138","40976"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Brooklyn Heights/Fort Greene","54953","64046","62181","66156"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Brownsville/Ocean Hill","22975","25296","27345","25843"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bushwick","27852","31531","36044","31780"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Central Harlem","27007","31231","33157","31474"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Chelsea/Clinton/Midtown","72708","79388","79333","81767"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Coney Island","27983","31271","32493","32593"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","East Flatbush","41503","43082","43582","47849"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","East Harlem","27012","30697","30334","27973"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","East New York/Starrett City","28067","32370","35982","33350"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Elmhurst/Corona","41423","44584","41860","43300"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Flatbush","40120","41216","41402","40372"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Flatlands/Canarsie","59116","61063","62424","63833"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Flushing/Whitestone","50638","52333","56208","52313"
,"Median Household Income","Median Household income for all households. Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Greenwich Village/Financial District","94871","104971","105712","101794"
