"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/26/2013. Terms can be found at http://www.furmancenter.org/data/disclaimer/.","Indicator","Description","SubBorough","2006","2007","2008","2009"
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","New York City","62931","66429","71402","69487"
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Astoria","49656","52003","62033","52024"
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bay Ridge","59645","50821","58666","53270"
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bayside/Little Neck","64332","70859","76689","71169"
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bedford Stuyvesant","34384","30430","41000","35791"
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bensonhurst","34732","40449","35154","38220"
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Borough Park","39161","40134","40533","42538"
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Brooklyn Heights/Fort Greene","81587","98235","97600","107880"
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Brownsville/Ocean Hill","15473",,"33351",
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Bushwick","41023","31791","58750","56317"
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Central Harlem","61812","77840","74617","79213"
,"Median Household Income, White Households","Median Household income for white households.  Household income is the income for all members of a household 15 years or older.  <i>Source: United States Census (2000), American Community Survey</i>","Chelsea/Clinton/Midtown","84560","95030","93763","95862"
