ID,SubBorough,06_ratio,06_stop,06_asian
503,South Shore,0.840886,0.7751391,0.9218121
502,Mid-Island,0.614317,0.9226213,1.501864
501,North Shore,1.561579,1.9646809,1.2581377
414,Rockaways,9.695066,1.817804,0.1874978
413,Queens Village,0.734576,2.0653562,2.8116316
412,Jamaica,1.864562,4.382098,2.3502029
411,Bayside/Little Neck,0.208896,0.8322355,3.9839634
410,South Ozone Park/Howard Beach,0.387877,1.0368141,2.6730462
409,Ozone Park/Woodhaven,0.317823,0.9208055,2.8972284
408,Hillcrest/Fresh Meadows,0.392753,1.8028742,4.5903527
407,Flushing/Whitestone,0.107287,1.2532962,11.6817219
406,Rego Park/Forest Hills,0.189829,0.5342447,2.8143489
405,Middle Village/Ridgewood,1.220963,1.4586818,1.1946978
404,Elmhurst/Corona,0.229793,1.056586,4.5979823
403,Jackson Heights,0.788943,2.2707418,2.8782069
402,Sunnyside/Woodside,0.259274,1.1495946,4.4338955
401,Astoria,0.714478,1.843225,2.5798198
310,Washington Heights/Inwood,7.624578,2.3619347,0.309779
309,East Harlem,8.080124,4.4926592,0.5560137
308,Central Harlem,17.459830,5.0273074,0.2879357
307,Morningside Heights/Hamilton Heights,2.623075,1.9719441,0.7517681
306,Upper East Side,0.796590,1.282954,1.6105584
305,Upper West Side,0.865683,1.5022607,1.7353479
304,Stuyvesant Town/Turtle Bay,0.422627,0.796525,1.8846982
303,Chelsea/Clinton/Midtown,1.564710,2.95146,1.8862659
302,Lower East Side/Chinatown,0.317617,2.0621281,6.4925048
301,Greenwich Village/Financial District,0.469672,1.3888749,2.9571148
218,Flatlands/Canarsie,2.879108,1.8307162,0.6358623
217,East Flatbush,26.641664,1.0358053,0.0388792
216,Brownsville/Ocean Hill,#DIV/0!,6.1072968,0
215,Sheepshead Bay/Gravesend,0.567230,1.0922964,1.9256677
214,Flatbush,1.177087,1.6610411,1.411146
213,Coney Island,1.016573,1.1159016,1.097709
212,Borough Park,0.252778,0.5509903,2.1797408
211,Bensonhurst,0.181195,0.9998931,5.5183312
210,Bay Ridge,0.181180,0.3901923,2.1536124
209,South Crown Heights,8.534318,0.8750073,0.1025281
208,North Crown Heights/Prospect Heights,10.315671,2.7848111,0.2699593
207,Sunset Park,0.289269,1.1588753,4.0062248
206,Park Slope/Carroll Gardens,1.537060,1.2038664,0.7832268
205,East New York/Starrett City,4.748366,4.9413602,1.0406444
204,Bushwick,4.293612,1.7873391,0.4162787
203,Bedford Stuyvesant,9.120099,2.853811,0.3129145
202,Brooklyn Heights/Fort Greene,3.488922,2.8864952,0.8273316
201,Williamsburg/Greenpoint,2.423252,1.8728828,0.7728799
110,Williamsbridge/Baychester,5.219536,1.3299627,0.2548048
109,Pelham Parkway,1.073133,0.8766213,0.8168802
108,Throgs Neck/Co-op City,1.265465,0.3805081,0.3006863
107,Soundview/Parkchester,1.826286,1.9321985,1.0579937
106,Riverdale/Kingsbridge,0.867191,0.5515956,0.6360713
105,Kingsbridge Heights/Moshulu,0.717056,0.6022358,0.8398733
104,University Heights/Fordham,4.620958,1.2571295,0.2720495
103,Highbridge/South Concourse,7.928036,1.9372424,0.2443534
102,Morrisania/Belmont,23.475669,2.2400752,0.0954211
101,Mott Haven/Hunts Point,30.914243,3.8190024,0.1235354
