zipcode,dogs,dogs_ratio
10001,459,5.628310771
10002,774,9.490876986
10003,1000,12.26211497
10004,87,1.066804002
10005,186,2.280753384
10006,103,1.262997842
10007,139,1.704433981
10008,12,0.14714538
10009,1065,13.05915244
10010,596,7.308220522
10011,1537,18.84687071
10012,601,7.369531097
10013,454,5.567000196
10014,986,12.09044536
10015,2,0.02452423
10016,775,9.503139101
10017,278,3.408867962
10018,162,1.986462625
10019,821,10.06719639
10020,5,0.061310575
10021,1255,15.38895429
10022,775,9.503139101
10023,1487,18.23376496
10024,1684,20.64940161
10025,1988,24.37708456
10026,316,3.87482833
10027,536,6.572493624
10028,1159,14.21179125
10029,995,12.20080439
10030,175,2.14587012
10031,366,4.487934079
10032,356,4.365312929
10033,424,5.199136747
10034,392,4.806749068
10035,310,3.801255641
10036,591,7.246909947
10037,138,1.692171866
10038,375,4.598293114
10039,199,2.440160879
10040,299,3.666372376
10043,2,0.02452423
10044,79,0.968707083
10045,1,0.012262115
10069,170,2.084559545
10079,1,0.012262115
10080,2,0.02452423
10101,6,0.07357269
10107,1,0.012262115
10108,2,0.02452423
10111,1,0.012262115
10112,1,0.012262115
10113,2,0.02452423
10116,1,0.012262115
10118,1,0.012262115
10119,2,0.02452423
10120,1,0.012262115
10123,2,0.02452423
10125,1,0.012262115
10128,1537,18.84687071
10129,1,0.012262115
10138,1,0.012262115
10150,6,0.07357269
10151,1,0.012262115
10153,1,0.012262115
10154,1,0.012262115
10156,2,0.02452423
10159,2,0.02452423
10162,3,0.036786345
10163,8,0.09809692
10172,1,0.012262115
10175,2,0.02452423
10185,2,0.02452423
10203,2,0.02452423
10274,1,0.012262115
10276,2,0.02452423
10280,198,2.427898764
10282,120,1.471453796
10301,576,7.062978222
10302,259,3.175887777
10303,304,3.727682951
10304,564,6.915832843
10305,771,9.454090642
10306,1359,16.66421424
10307,322,3.94840102
10308,747,9.159799882
10309,760,9.319207377
10310,448,5.493427506
10312,1609,19.72974299
10313,5,0.061310575
10314,1657,20.3183245
10451,282,3.457916421
10452,312,3.825779871
10453,264,3.237198352
10454,287,3.519226996
10455,318,3.89935256
10456,353,4.328526584
10457,251,3.077790857
10458,355,4.353050814
10459,272,3.335295272
10460,279,3.421130077
10461,687,8.424072984
10462,586,7.185599372
10463,655,8.031685305
10464,123,1.508240141
10465,788,9.662546596
10466,298,3.654110261
10467,505,6.19236806
10468,308,3.776731411
10469,435,5.334020012
10470,108,1.324308417
10471,371,4.549244654
10472,537,6.584755739
10473,740,9.073965077
10474,70,0.858348048
10475,109,1.336570532
11004,184,2.256229154
11005,4,0.04904846
11101,361,4.426623504
11102,373,4.573768884
11103,319,3.911614675
11104,308,3.776731411
11105,448,5.493427506
11106,406,4.978418678
11201,1149,14.0891701
11202,5,0.061310575
11203,185,2.268491269
11204,452,5.542475966
11205,349,4.279478124
11206,724,8.877771238
11207,370,4.536982539
11208,363,4.451147734
11209,1082,13.2676084
11210,198,2.427898764
11211,806,9.883264665
11212,255,3.126839317
11213,165,2.02324897
11214,690,8.460859329
11215,1346,16.50480675
11216,315,3.862566215
11217,616,7.553462821
11218,711,8.718363743
11219,255,3.126839317
11220,607,7.443103787
11221,438,5.370806357
11222,558,6.842260153
11223,533,6.535707279
11224,402,4.929370218
11225,277,3.396605847
11226,316,3.87482833
11228,560,6.866784383
11229,767,9.405042182
11230,391,4.794486953
11231,695,8.522169904
11232,213,2.611830489
11233,289,3.543751226
11234,1011,12.39699823
11235,729,8.939081813
11236,409,5.015205023
11237,248,3.041004512
11238,594,7.283696292
11239,112,1.373356877
11242,1,0.012262115
11243,13,0.159407495
11249,134,1.643123406
11351,1,0.012262115
11352,3,0.036786345
11353,1,0.012262115
11354,317,3.887090445
11355,399,4.892583873
11356,233,2.857072788
11357,645,7.909064155
11358,518,6.351775554
11359,1,0.012262115
11360,218,2.673141063
11361,404,4.953894448
11362,174,2.133608005
11363,107,1.312046302
11364,419,5.137826172
11365,404,4.953894448
11366,137,1.679909751
11367,315,3.862566215
11368,315,3.862566215
11369,203,2.489209339
11370,263,3.224936237
11372,520,6.376299784
11373,481,5.8980773
11374,385,4.720914263
11375,840,10.30017657
11377,723,8.865509123
11378,577,7.075240337
11379,744,9.123013537
11385,1025,12.56866784
11386,4,0.04904846
11388,1,0.012262115
11411,77,0.944182853
11412,127,1.557288601
11413,142,1.741220326
11414,375,4.598293114
11415,174,2.133608005
11416,137,1.679909751
11417,313,3.838041985
11418,262,3.212674122
11419,171,2.09682166
11420,203,2.489209339
11421,323,3.960663135
11422,96,1.177163037
11423,130,1.594074946
11425,2,0.02452423
11426,235,2.881597018
11427,142,1.741220326
11428,117,1.434667451
11429,75,0.919658623
11430,1,0.012262115
11431,4,0.04904846
11432,250,3.065528742
11433,100,1.226211497
11434,167,2.0477732
11435,245,3.004218168
11436,72,0.882872278
11690,5,0.061310575
11691,154,1.888365705
11692,106,1.299784187
11693,172,2.109083775
11694,283,3.470178536
11697,66,0.809299588
