ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00,DOGS,DOGS_RATIO,CRIME,CRIME_RATIO,RATIO
10001,B5,G6350,S,459.00,5.63,3971,7.677925433,8.651416122
10002,B5,G6350,S,774.00,9.49,4370,8.449391624,5.645994832
10003,B5,G6350,S,1000.00,12.26,2569,4.967159516,2.569
10004,B5,G6350,S,87.00,1.07,292,0.564581774,3.356321839
10005,B5,G6350,S,186.00,2.28,316,0.610985756,1.698924731
10006,B5,G6350,S,103.00,1.26,267,0.516244294,2.59223301
10007,B5,G6350,S,139.00,1.70,853,1.649274841,6.136690647
10009,B5,G6350,S,1065.00,13.06,3301,6.38248095,3.099530516
10010,B5,G6350,S,596.00,7.31,440,0.85073966,0.738255034
10011,B5,G6350,S,1537.00,18.85,2524,4.88015205,1.642160052
10012,B5,G6350,S,601.00,7.37,1657,3.20380822,2.757071547
10013,B5,G6350,S,454.00,5.57,1452,2.807440878,3.198237885
10014,B5,G6350,S,986.00,12.09,2298,4.443181225,2.330628803
10016,B5,G6350,S,775.00,9.50,1224,2.366603055,1.579354839
10017,B5,G6350,S,278.00,3.41,426,0.823670671,1.532374101
10018,B5,G6350,S,162.00,1.99,1021,1.974102711,6.302469136
10019,B5,G6350,S,821.00,10.07,1417,2.739768405,1.725943971
10020,B5,G6350,S,5.00,0.06,33,0.063805475,6.6
10021,B5,G6350,S,1255.00,15.39,1538,2.973721812,1.225498008
10022,B5,G6350,S,775.00,9.50,972,1.879361249,1.254193548
10023,B5,G6350,S,1487.00,18.23,2260,4.369708254,1.519838601
10024,B5,G6350,S,1684.00,20.65,1764,3.410692637,1.047505938
10025,B5,G6350,S,1988.00,24.38,3758,7.266090097,1.890342052
10026,B5,G6350,S,316.00,3.87,4086,7.900277844,12.93037975
10027,B5,G6350,S,536.00,6.57,9524,18.41464664,17.76865672
10028,B5,G6350,S,1159.00,14.21,957,1.850358761,0.825711821
10029,B5,G6350,S,995.00,12.20,11078,21.41930444,11.13366834
10030,B5,G6350,S,175.00,2.15,5061,9.785439591,28.92
10031,B5,G6350,S,366.00,4.49,5706,11.03254659,15.59016393
10032,B5,G6350,S,356.00,4.37,2746,5.309388879,7.713483146
10033,B5,G6350,S,424.00,5.20,4207,8.13423125,9.922169811
10034,B5,G6350,S,392.00,4.81,2890,5.587812768,7.37244898
10035,B5,G6350,S,310.00,3.80,4839,9.356202762,15.60967742
10036,B5,G6350,S,591.00,7.25,4374,8.457125621,7.401015228
10037,B5,G6350,S,138.00,1.69,2467,4.769942594,17.87681159
10038,B5,G6350,S,375.00,4.60,507,0.980284108,1.352
10039,B5,G6350,S,199.00,2.44,2593,5.013563497,13.03015075
10040,B5,G6350,S,299.00,3.67,3593,6.947062725,12.01672241
10041,B5,G6350,S,,,1,0.001933499,#DIV/0!
10044,B5,G6350,S,79.00,0.97,1,0.001933499,0.012658228
10048,B5,G6350,S,,,63,0.121810451,#DIV/0!
10069,B5,G6350,S,170.00,2.08,53,0.102475459,0.311764706
10103,B5,G6350,S,,,2,0.003866998,#DIV/0!
10111,B5,G6350,S,1.00,0.01,0,0,0
10112,B5,G6350,S,1.00,0.01,4,0.007733997,4
10115,B5,G6350,S,,,1,0.001933499,#DIV/0!
10119,B5,G6350,S,2.00,0.02,334,0.645788742,167
10128,B5,G6350,S,1537.00,18.85,2058,3.97914141,1.338972023
10152,B5,G6350,S,,,1,0.001933499,#DIV/0!
10153,B5,G6350,S,1.00,0.01,14,0.027068989,14
10154,B5,G6350,S,1.00,0.01,3,0.005800498,3
10162,B5,G6350,S,3.00,0.04,17,0.032869487,5.666666667
10165,B5,G6350,S,,,3,0.005800498,#DIV/0!
10167,B5,G6350,S,,,0,0,#DIV/0!
10169,B5,G6350,S,,,1,0.001933499,#DIV/0!
10170,B5,G6350,S,,,523,1.011220096,#DIV/0!
10171,B5,G6350,S,,,0,0,#DIV/0!
10172,B5,G6350,S,1.00,0.01,1,0.001933499,1
10173,B5,G6350,S,,,2,0.003866998,#DIV/0!
10177,B5,G6350,S,,,0,0,#DIV/0!
10271,B5,G6350,S,,,2,0.003866998,#DIV/0!
10278,B5,G6350,S,,,4,0.007733997,#DIV/0!
10279,B5,G6350,S,,,5,0.009667496,#DIV/0!
10280,B5,G6350,S,198.00,2.43,104,0.20108392,0.525252525
10282,B5,G6350,S,120.00,1.47,16,0.030935988,0.133333333
10301,B5,G6350,S,576.00,7.06,3227,6.239402007,5.602430556
10302,B5,G6350,S,259.00,3.18,1758,3.399091642,6.787644788
10303,B5,G6350,S,304.00,3.73,1453,2.809374378,4.779605263
10304,B5,G6350,S,564.00,6.92,3807,7.360831559,6.75
10305,B5,G6350,S,771.00,9.45,1344,2.598622962,1.743190661
10306,B5,G6350,S,1359.00,16.66,1888,3.650446542,1.389256806
10307,B5,G6350,S,322.00,3.95,261,0.504643298,0.810559006
10308,B5,G6350,S,747.00,9.16,437,0.844939162,0.585006693
10309,B5,G6350,S,760.00,9.32,709,1.370850952,0.932894737
10310,B5,G6350,S,448.00,5.49,1875,3.625311052,4.185267857
10312,B5,G6350,S,1609.00,19.73,996,1.925765231,0.619018024
10314,B5,G6350,S,1657.00,20.32,2078,4.017811395,1.254073627
10451,B5,G6350,S,282.00,3.46,6668,12.89257285,23.64539007
