OBJECTID,UHFCODE,SHAPE_Leng,SHAPE_Area,UHF_NEIGH,BOROUGH,Neighbors,Sum,PNTCNT
1,0,207587.59562700000,276409922.27800000000,,N/A,"302,303,304,305,306,307,401,402,407,408,409,410",352,795
2,101,57699.15435320000,133291428.94300000000,Kingsbridge - Riverdale,Bronx,"102,103,105,301",33,1785
3,102,88219.31910949990,181370838.13800000000,Northeast Bronx,Bronx,"101,103,104",11,6641
4,103,59711.87199110000,140772424.68300000000,Fordham - Bronx Park,Bronx,"101,102,104,105",16,16514
5,104,250903.37227299900,386573664.36799900000,Pelham - Throgs Neck,Bronx,"102,103,105,107",21,13693
6,105,66676.08907190000,106897846.11000000000,Crotona - Tremont,Bronx,"101,103,104,106,107,301",46,11854
7,106,50241.64932409990,85899564.56530000000,High Bridge - Morrisania,Bronx,"105,107",14,20483
8,107,62182.67477250000,112809301.75500000000,Hunts Point - Mott Haven,Bronx,"104,105,106,303",40,20918
9,201,48036.34814550000,104783568.36200000000,Greenpoint,Brooklyn,"202,211,401,402,405",124,5046
10,202,111232.01556699900,175800054.94999900000,Downtown  - Heights - Slope,Brooklyn,"201,203,205,206,207,211",81,19048
11,203,69711.01432500000,166226273.60800000000,Bedford Stuyvesant - Crown Heights,Brooklyn,"202,204,207,208,211",72,59385
12,204,75378.41833310000,155140452.12300000000,East New York,Brooklyn,"203,208,211,405,407",116,33351
13,205,100114.86669100000,111863509.54799900000,Sunset Park,Brooklyn,"202,206,209",41,4661
14,206,63216.73814100000,171876286.49500000000,Borough Park,Brooklyn,"202,205,207,209,210",73,7336
15,207,73949.35057290000,193737310.90099900000,East Flatbush - Flatbush,Brooklyn,"202,203,206,208,210",69,20459
16,208,142322.64519899900,359879550.09100000000,Canarsie - Flatlands,Brooklyn,"203,204,207,210,407",92,8312
17,209,73089.45727480000,160398685.56500000000,Bensonhurst - Bay Ridge,Brooklyn,"205,206,210",45,5269
18,210,101869.34986000000,228830944.53400000000,Coney Island - Sheepshead Bay,Brooklyn,"206,207,208,209",62,14666
19,211,49012.82281040000,106661188.86800000000,Williamsburg - Bushwick,Brooklyn,"201,202,203,204,402,405",107,27835
20,301,67477.64818740000,98903331.36439990000,Washington Heights - Inwood,Manhattan,"101,105,302",29,20382
21,302,50891.46207920000,61396212.45420000000,Central Harlem - Morningside Heights,Manhattan,"0,301,303,304",66,24235
22,303,53979.19278580000,60897268.57930000000,East Harlem,Manhattan,"0,107,302,305",54,21118
23,304,46554.86506180000,58271811.76070000000,Upper West Side,Manhattan,"0,302,306",47,6045
24,305,49821.03669590000,54389991.76500000000,Upper East Side,Manhattan,"0,303,306,307",74,3305
25,306,87605.44260860000,79433506.39759990000,Chelsea - Clinton,Manhattan,"0,304,305,307,308,309",129,14335
26,307,38475.19715250000,48288819.17409990000,Gramercy Park -  Murray Hill,Manhattan,"0,305,306,309",78,4702
27,308,50948.82572840000,40239113.00069990000,Greenwich Village - Soho,Manhattan,"306,309,310",82,3942
28,309,34713.20933980000,57320385.44240000000,Union Square - Lower East Side,Manhattan,"306,307,308,310",107,10431
29,310,50752.73512340000,35132269.33510000000,Lower Manhattan,Manhattan,"308,309",55,2554
30,401,72324.76281530000,192302041.44700000000,Long Island City - Astoria,Queens,"0,201,402",41,12423
31,402,116570.27741300000,324654856.59500000000,West Queens,Queens,"0,201,211,401,403,405",125,30093
32,403,125334.92424300000,362299498.67100000000,Flushing - Clearview,Queens,"402,404,405,406",133,10434
33,404,70215.83308460000,214568819.41299900000,Bayside - Little Neck,Queens,"403,406,408,409",142,3248
34,405,87164.99102060000,265270297.68799900000,Ridgewood - Forest Hills,Queens,"201,204,211,402,403,406,407",174,9708
35,406,61672.82532160000,153432076.31900000000,Fresh Meadows,Queens,"403,404,405,407,408,409",210,3165
36,407,123610.72991400000,272526503.49000000000,Southwest Queens,Queens,"0,204,208,405,406,408",135,14125
37,408,123620.44833000000,364549867.52800000000,Jamaica,Queens,"0,404,406,407,409",143,24790
38,409,129288.28029700000,361601679.26899900000,Southeast Queens,Queens,"0,404,406,408",106,8265
39,410,232823.13581700000,265728844.07200000000,Rockaway,Queens,0,1,11550
40,501,86322.59020460000,164519524.44600000000,Port  Richmond,Staten Island,"502,503",83,8314
41,502,107053.88665000000,327243680.03799900000,Stapleton - St. George,Staten Island,"501,503,504",125,13152
42,503,117827.80509200000,413108024.38800000000,Willowbrook,Staten Island,"501,502,504",124,2061
43,504,175067.70894000000,731130742.26600000000,South Beach - Tottenville,Staten Island,"502,503",83,4507
