UHFCODE,UHF_NEIGH,2006,2007,2008,2009,2010,2011,a2006,a2007,a2008,a2009,a2010,a2011
0,,14453.25,14349.54,14245.83,14582.16667,16202.92,17331.58,1050,958.5,867,795,892,1395
101,Kingsbridge - Riverdale,10833.75,11243.88,11654.00,13847.75,14578.25,19203.00,2274,1979.5,1685,1785,1639,2019
102,Northeast Bronx,7943.00,8699.33,9455.67,10664,12665.00,16033.00,6474,6616,6758,6641,8813,8543
103,Fordham - Bronx Park,8153.75,8228.63,8303.50,8493.25,10415.75,12943.50,8943,11123.5,13304,16514,19696,23854
104,Pelham - Throgs Neck,10751.00,11585.63,12420.25,13981.75,16558.50,19711.50,12612,12995,13378,13693,16660,22226
105,Crotona - Tremont,12150.67,12592.17,13033.67,15629.16667,16431.17,21123.17,11255,11324,11393,11854,14551,18986
106,High Bridge - Morrisania,13793.50,14301.50,14809.50,16386,18862.50,23224.50,16080,16264,16448,20483,22165,25748
107,Hunts Point - Mott Haven,15342.75,15589.00,15835.25,16787,19745.25,22878.50,16332,17279,18226,20918,23174,27463
201,Greenpoint,14623.20,16240.60,17858.00,19821.4,20051.00,22509.00,6873,7369.5,7866,5046,5677,6846
202,Downtown  - Heights - Slope,17062.17,17740.25,18418.33,20787,18888.67,23056.83,15498,16444,17390,19048,19320,20724
203,Bedford Stuyvesant - Crown Heights,17864.40,18793.00,19721.60,21801,21847.40,25559.40,50635,49744,48853,59385,46358,54999
204,East New York,18992.00,20060.40,21128.80,23873,21611.00,25955.60,31026,30365,29704,33351,29121,33680
205,Sunset Park,8848.67,9322.83,9797.00,10551,9838.00,10579.33,4865,4633,4401,4661,4962,6876
206,Borough Park,10764.60,11096.00,11427.40,12820.6,13514.20,14653.40,6420,6666,6912,7336,5464,6464
207,East Flatbush - Flatbush,18694.00,18855.50,19017.00,21749.4,19125.20,21735.00,17133,17248,17363,20459,24000,24866
208,Canarsie - Flatlands,23985.00,24237.70,24490.40,28397.2,25984.20,29431.40,9218,9127,9036,8312,9925,10237
209,Bensonhurst - Bay Ridge,7661.33,7865.17,8069.00,8887.666667,8328.33,9863.67,4628,4858.5,5089,5269,4730,4550
210,Coney Island - Sheepshead Bay,9349.75,9474.88,9600.00,10344,11029.75,11529.25,11699,12296.5,12894,14666,14559,16251
211,Williamsburg - Bushwick,22556.33,22724.17,22892.00,26105.16667,23724.00,26386.67,16447,20781,25115,27835,26871,38290
301,Washington Heights - Inwood,14571.67,13342.17,12112.67,12624.66667,13231.67,16367.33,16663,15912,15161,20382,15253,25429
302,Central Harlem - Morningside Heights,11599.25,11418.75,11238.25,12085,12527.25,15287.25,30186,26723,23260,24235,23505,28097
303,East Harlem,13339.50,12584.25,11829.00,12313.25,12856.75,15435.25,21424,21773,22122,21118,25605,24554
304,Upper West Side,15343.00,14695.33,14047.67,13121.66667,13756.67,15392.00,7260,7031.5,6803,6045,8359,9771
305,Upper East Side,10406.25,11054.88,11703.50,10237.5,11910.50,11894.25,5790,5376.5,4963,3305,3856,4786
306,Chelsea - Clinton,5508.33,5583.25,5658.17,4870,5389.00,6176.33,14793,16404.5,18016,14335,16873,16684
307,Gramercy Park -  Murray Hill,7965.25,8250.63,8536.00,7216.5,7785.50,8502.75,4358,5083.5,5809,4702,4272,4944
308,Greenwich Village - Soho,9030.00,9607.67,10185.33,9106.666667,9506.67,10304.33,4364,4786.5,5209,3942,5434,5016
309,Union Square - Lower East Side,6396.00,7107.50,7819.00,6383.25,7176.25,7431.75,10228,10263,10298,10431,9521,11146
310,Lower Manhattan,7296.00,7524.75,7753.50,7186.5,7477.50,8081.00,2069,2155.5,2242,2554,2126,3083
401,Long Island City - Astoria,10000.33,10545.17,11090.00,11978,13139.67,13807.00,9865,11555.5,13246,12423,12196,11460
402,West Queens,8327.50,9522.17,10716.83,11040.16667,10837.50,13314.17,22078,23307.5,24537,30093,32850,33180
403,Flushing - Clearview,9324.00,9616.38,9908.75,11553.5,11959.25,11888.25,6502,7353.5,8205,10434,10371,13003
404,Bayside - Little Neck,12062.75,11026.13,9989.50,11663.5,12935.75,14252.50,3251,3131,3011,3248,3192,3278
405,Ridgewood - Forest Hills,13585.29,14803.36,16021.43,17721.28571,17650.00,20652.00,9228,9115,9002,9708,9018,8891
406,Fresh Meadows,11237.17,10828.92,10420.67,11761.66667,12843.17,14056.00,2739,2912,3085,3165,2777,2204
407,Southwest Queens,13577.67,12983.17,12388.67,13353.5,13423.33,14725.17,9432,11535,13638,14125,15883,17361
408,Jamaica,5455.40,5390.80,5326.20,5919.6,6506.40,6819.40,28205,25421.5,22638,24790,28807,31944
409,Southeast Queens,8811.25,8105.75,7400.25,7999.5,8917.00,9705.25,10805,8417.5,6030,8265,9788,9859
410,Rockaway,1050.00,958.50,867.00,795,892.00,1395.00,9243,9565.5,9888,11550,12441,15339
501,Port  Richmond,4612.00,6174.00,7736.00,7606.5,6814.00,7161.00,3991,5962.5,7934,8314,7790,6788
502,Stapleton - St. George,3673.33,5143.50,6613.67,4960.666667,4846.00,5060.00,7135,9165.5,11196,13152,11562,11268
503,Willowbrook,5355.33,7137.83,8920.33,8657.666667,8011.33,7798.00,2089,3182.5,4276,2061,2066,3054
504,South Beach - Tottenville,4612.00,6174.00,7736.00,7606.5,6814.00,7161.00,4940,6285.5,7631,4507,4682,5338
