UHFCODE,UHF_NEIGH,2006,2007,2008,2009,2010,2011,2012
0,,1050,958.5,867,795,892,1395,972
101,Kingsbridge - Riverdale,2274,1979.5,1685,1785,1639,2019,1755
102,Northeast Bronx,6474,6616,6758,6641,8813,8543,7626
103,Fordham - Bronx Park,8943,11123.5,13304,16514,19696,23854,15969
104,Pelham - Throgs Neck,12612,12995,13378,13693,16660,22226,14180
105,Crotona - Tremont,11255,11324,11393,11854,14551,18986,11854
106,High Bridge - Morrisania,16080,16264,16448,20483,22165,25748,23051
107,Hunts Point - Mott Haven,16332,17279,18226,20918,23174,27463,23615
201,Greenpoint,6873,7369.5,7866,5046,5677,6846,5202
202,Downtown  - Heights - Slope,15498,16444,17390,19048,19320,20724,16288
203,Bedford Stuyvesant - Crown Heights,50635,49744,48853,59385,46358,54999,48979
204,East New York,31026,30365,29704,33351,29121,33680,27172
205,Sunset Park,4865,4633,4401,4661,4962,6876,5824
206,Borough Park,6420,6666,6912,7336,5464,6464,5311
207,East Flatbush - Flatbush,17133,17248,17363,20459,24000,24866,22201
208,Canarsie - Flatlands,9218,9127,9036,8312,9925,10237,8699
209,Bensonhurst - Bay Ridge,4628,4858.5,5089,5269,4730,4550,4779
210,Coney Island - Sheepshead Bay,11699,12296.5,12894,14666,14559,16251,14253
211,Williamsburg - Bushwick,16447,20781,25115,27835,26871,38290,27738
301,Washington Heights - Inwood,16663,15912,15161,20382,15253,25429,19145
302,Central Harlem - Morningside Heights,30186,26723,23260,24235,23505,28097,23623
303,East Harlem,21424,21773,22122,21118,25605,24554,16067
304,Upper West Side,7260,7031.5,6803,6045,8359,9771,7301
305,Upper East Side,5790,5376.5,4963,3305,3856,4786,4251
306,Chelsea - Clinton,14793,16404.5,18016,14335,16873,16684,13671
307,Gramercy Park -  Murray Hill,4358,5083.5,5809,4702,4272,4944,3544
308,Greenwich Village - Soho,4364,4786.5,5209,3942,5434,5016,5379
309,Union Square - Lower East Side,10228,10263,10298,10431,9521,11146,10161
310,Lower Manhattan,2069,2155.5,2242,2554,2126,3083,2496
401,Long Island City - Astoria,9865,11555.5,13246,12423,12196,11460,9223
402,West Queens,22078,23307.5,24537,30093,32850,33180,20211
403,Flushing - Clearview,6502,7353.5,8205,10434,10371,13003,9848
404,Bayside - Little Neck,3251,3131,3011,3248,3192,3278,2540
405,Ridgewood - Forest Hills,9228,9115,9002,9708,9018,8891,6861
406,Fresh Meadows,2739,2912,3085,3165,2777,2204,2104
407,Southwest Queens,9432,11535,13638,14125,15883,17361,11176
408,Jamaica,28205,25421.5,22638,24790,28807,31944,23021
409,Southeast Queens,10805,8417.5,6030,8265,9788,9859,8204
410,Rockaway,9243,9565.5,9888,11550,12441,15339,13012
501,Port  Richmond,3991,5962.5,7934,8314,7790,6788,5113
502,Stapleton - St. George,7135,9165.5,11196,13152,11562,11268,8420
503,Willowbrook,2089,3182.5,4276,2061,2066,3054,2062
504,South Beach - Tottenville,4940,6285.5,7631,4507,4682,5338,4238
